lsproductCode,productName,productCategory,quantityInStock,buyPrice,MSRP
P_100,Open-architected cohesive encoding,Tools,5208,198.2,245.52
P_101,Quality-focused holistic software,Home Goods,3948,464.7,732.21
P_102,Robust upward-trending open system,Services,5321,411.19,730.96
P_103,Stand-alone heuristic service-desk,Apparel,2007,56.69,72.86
P_104,Seamless full-range definition,Home Goods,2985,346.06,589.75
P_105,Universal multi-state approach,Home Goods,1161,409.16,875.61
P_106,Phased logistical core,Services,3767,124.22,295.1
P_107,Configurable background portal,Home Goods,1602,474.73,765.57
P_108,Multi-lateral zero administration infrastructure,Services,1954,733.78,1588.84
P_109,Compatible maximized policy,Apparel,4079,492.84,999.77
P_110,Business-focused well-modulated flexibility,Home Goods,1487,378.3,687.23
P_111,Ergonomic mobile framework,Tools,3827,213.34,443.1
P_112,Realigned empowering utilization,Home Goods,3763,667.93,1356.11
P_113,Progressive user-facing info-mediaries,Books,6452,477.65,1093.59
P_114,Enterprise-wide dynamic conglomeration,Tools,2867,36.7,65.95
P_115,Polarized 4thgeneration adapter,Tools,5169,14.01,26.56
P_116,Triple-buffered scalable framework,Home Goods,6227,556.86,760.17
P_117,Cross-platform fault-tolerant website,Services,2684,337.1,638.08
P_118,Ergonomic didactic structure,Electronics,6185,17.85,22.62
P_119,Synergistic regional product,Home Goods,4064,510.22,939.04
P_120,Optimized actuating neural-net,Apparel,5680,278.98,663.4
P_121,Multi-channeled needs-based initiative,Books,4713,322.83,447.24
P_122,Enterprise-wide high-level leverage,Apparel,2493,640.81,1149.21
P_123,Down-sized tertiary knowledge user,Books,6760,622.57,1189.62
P_124,Focused bottom-line flexibility,Apparel,3670,91.48,214.18
P_125,Extended dedicated Local Area Network,Home Goods,1265,61.8,85.25
P_126,Cross-group demand-driven time-frame,Apparel,5828,630.61,1020.17
P_127,Front-line tertiary customer loyalty,Electronics,3292,551.94,906.66
P_128,Balanced dynamic hierarchy,Electronics,853,72.34,108.59
P_129,Exclusive value-added hierarchy,Apparel,4433,323.0,569.74
P_130,Networked directional utilization,Home Goods,1063,630.24,1310.6
P_131,Cross-group scalable migration,Tools,1426,141.04,324.89
P_132,Advanced context-sensitive workforce,Electronics,3926,453.98,854.97
P_133,Implemented regional encryption,Books,242,495.6,888.2
P_134,Open-architected foreground strategy,Home Goods,3348,544.28,1268.37
P_135,Automated stable intranet,Tools,6220,330.25,684.3
P_136,Inverse optimal monitoring,Home Goods,64,621.78,1545.57
P_137,Devolved user-facing encoding,Services,1402,572.68,785.42
P_138,Enterprise-wide stable open architecture,Books,820,65.95,152.48
P_139,Front-line real-time access,Tools,3514,82.58,184.16
P_140,Extended even-keeled extranet,Tools,2007,139.12,264.73
P_141,Streamlined bandwidth-monitored installation,Books,2664,484.72,906.48
P_142,Sharable coherent emulation,Apparel,5151,342.85,497.45
P_143,Quality-focused upward-trending matrix,Tools,3695,108.74,182.54
P_144,Phased hybrid framework,Apparel,6852,342.98,624.94
P_145,Networked encompassing concept,Apparel,1560,87.48,162.75
P_146,Pre-emptive responsive info-mediaries,Tools,2181,10.47,24.71
P_147,Configurable dedicated collaboration,Apparel,3423,267.36,591.48
P_148,Grass-roots asymmetric pricing structure,Tools,1409,233.06,357.54
P_149,Focused foreground pricing structure,Tools,839,93.4,159.22
P_150,Stand-alone user-facing matrices,Services,6355,506.17,666.38
P_151,Total zero-defect utilization,Books,5680,740.4,1316.88
P_152,Virtual responsive project,Books,4805,477.54,1128.93
